consumer_iso3c,scenario,change_in_stock,live_weight_t,pct_change
HRV,ssp126,32658.60864014493,34133.88185883534,-4.3220200526608
HRV,ssp585,33457.851161868464,34133.88185883534,-1.9805268552890603
HTI,ssp126,19758.417655379217,14048.464572792547,40.644677238572044
HTI,ssp585,19805.100526253937,14048.464572792547,40.97697597935493
HUN,ssp126,5207.748894042265,5145.405554221576,1.2116312147550723
HUN,ssp585,5214.70415943045,5145.405554221576,1.3468055040290865
IDN,ssp126,3999146.9671471347,4246965.701826942,-5.835195103487693
IDN,ssp585,4066547.512384887,4246965.701826942,-4.248166858621998
IND,ssp126,582488.0762936648,536137.2029837861,8.645337994065743
IND,ssp585,578504.6107286784,536137.2029837861,7.902344308341827
IRL,ssp126,7858.548805426773,7149.6362897607,9.915364739341175
IRL,ssp585,8049.175618715869,7149.6362897607,12.581609644163832
IRN,ssp126,212832.85293879357,189404.43660625152,12.369518239557841
IRN,ssp585,220681.7196770511,189404.43660625152,16.513490196547608
IRQ,ssp126,5638.730487254911,5744.094926330539,-1.8343088062950468
IRQ,ssp585,5559.117459404987,5744.094926330539,-3.2203065808962874
ISL,ssp126,6555.810399523312,5325.550678251894,23.10107997461118
ISL,ssp585,6593.084396767944,5325.550678251894,23.800988763327595
ISR,ssp126,16756.57019825667,16457.262869389535,1.818694464824084
ISR,ssp585,16701.83881313771,16457.262869389535,1.486127709627135
ITA,ssp126,299715.2249248767,293849.47156386136,1.9961762496280555
ITA,ssp585,300159.0101278889,293849.47156386136,2.147200922447903
JAM,ssp126,4580.587934609738,4126.084496791843,11.015369127105506
JAM,ssp585,4566.441365630558,4126.084496791843,10.672512140289562
JOR,ssp126,13311.317171502844,13500.770954905056,-1.403281220272687
JOR,ssp585,13093.835519491877,13500.770954905056,-3.0141644264050917
JPN,ssp126,799941.8906175501,769589.3975134458,3.943985351432028
JPN,ssp585,801855.7054442867,769589.3975134458,4.192665340127316
KAZ,ssp126,4824.430580725926,4261.28253788614,13.215458910151087
KAZ,ssp585,4845.479435802793,4261.28253788614,13.709414776483019
KEN,ssp126,6296.067439954432,6243.527504820852,0.8415104296891786
KEN,ssp585,6242.341233873791,6243.527504820852,-0.01900001155029056
KGZ,ssp126,819.0932339010984,763.0450255280903,7.345334350907819
KGZ,ssp585,814.8812620353906,763.0450255280903,6.793339157335489
KHM,ssp126,6847.744421095479,6863.797696267524,-0.2338832798171545
KHM,ssp585,6825.791361141079,6863.797696267524,-0.5537216685030328
KIR,ssp126,758.0958326115689,735.4155358573762,3.084011099622896
KIR,ssp585,754.458813421327,735.4155358573762,2.5894581546675415
KNA,ssp126,50782.82760332464,52517.691264005516,-3.3033890464829274
KNA,ssp585,49384.13583711573,52517.691264005516,-5.966666377502116
KOR,ssp126,1227276.151056924,1183724.7580917615,3.6791824000851334
KOR,ssp585,1218412.027344353,1183724.7580917615,2.930349223117508
KWT,ssp126,9078.110323729416,8795.164733114927,3.2170584542795657
KWT,ssp585,9028.232324626271,8795.164733114927,2.6499514060699147
LAO,ssp126,1568.3727196031948,1539.8093167297984,1.8549961065347047
LAO,ssp585,1567.751726943784,1539.8093167297984,1.8146669142987675
LBN,ssp126,6892.802423553367,6773.265568004285,1.7648334374153645
LBN,ssp585,6812.209437163704,6773.265568004285,0.5749644505802736
LBR,ssp126,974.3264928725687,978.2800554340251,-0.4041340247606726
LBR,ssp585,940.6108730281188,978.2800554340251,-3.8505520169471272
LBY,ssp126,21590.275269615377,20904.15126251591,3.2822380515863627
LBY,ssp585,21382.20766287072,20904.15126251591,2.2868969629588944
LCA,ssp126,589.2133300954971,478.79742034225984,23.061091196838195
LCA,ssp585,592.450143353971,478.79742034225984,23.73712100003976
LKA,ssp126,99264.63142927854,94372.09148566137,5.18430805823619
LKA,ssp585,98838.65332269167,94372.09148566137,4.7329266170909605
LSO,ssp126,1747.5252700073047,1567.4585227647412,11.487815762101002
LSO,ssp585,1754.6554117081844,1567.4585227647412,11.942701272455896
LTU,ssp126,36175.85974829903,34544.60060465679,4.722182671355983
LTU,ssp585,36508.64605744098,34544.60060465679,5.685535274416874
LVA,ssp126,8334.723605736444,7731.898321538874,7.796601288952155
LVA,ssp585,8464.264301526624,7731.898321538874,9.47200738462359
MAR,ssp126,403150.63359807484,416176.2540543331,-3.129832692126088
MAR,ssp585,399297.8719732967,416176.2540543331,-4.055585083629705
MDA,ssp126,3887.6456535449133,3577.9590973448526,8.6553967715806
MDA,ssp585,3918.7397523973214,3577.9590973448526,9.524442448359926
MDG,ssp126,33161.626246311214,30321.71381984687,9.365936382545428
MDG,ssp585,34143.12731935713,30321.71381984687,12.60289415768109
MDV,ssp126,411.44347325658583,409.80460024110147,0.3999157194721976
MDV,ssp585,415.84193375796167,409.80460024110147,1.473222485376748
MEX,ssp126,1141485.1638321425,1136217.082002169,0.46365099710439317
MEX,ssp585,1135539.124310374,1136217.082002169,-0.05966797212732501
MHL,ssp126,1637.8637415371327,1523.6363733863695,7.49702292134745
MHL,ssp585,1629.9538876077372,1523.6363733863695,6.977879767012314
MKD,ssp126,1805.1435244655515,1796.0319226207791,0.5073184797003328
MKD,ssp585,1806.42902008191,1796.0319226207791,0.5788926872724733
MLI,ssp126,25299.427841492565,26003.997361463906,-2.7094662031286907
MLI,ssp585,24965.2197625582,26003.997361463906,-3.9946842959040594
MLT,ssp126,10522.920863847243,11039.670907559954,-4.680846449497341
MLT,ssp585,10242.19850068693,11039.670907559954,-7.223697278212477
MMR,ssp126,640202.236128506,632327.592358148,1.245342424642746
MMR,ssp585,640242.678457187,632327.592358148,1.2517382120747294
MNE,ssp126,4021.9301541303894,3838.054337077514,4.790860183414902
MNE,ssp585,4013.2855362978385,3838.054337077514,4.565625804916411
MNG,ssp126,492.3024903342943,473.075081975702,4.064346039595435
MNG,ssp585,482.67498974295995,473.075081975702,2.0292566937082968
MOZ,ssp126,207686.01725447614,200066.02207261889,3.80874028628979
MOZ,ssp585,209430.1826927102,200066.02207261889,4.680535216865738
MRT,ssp126,4983.70545579537,5411.6346478590885,-7.907577283196917
MRT,ssp585,4692.848142111641,5411.6346478590885,-13.282243767727527
MSR,ssp126,5.409678784304943,3.7091908463615773,45.84525327434715
MSR,ssp585,5.423613681620022,3.7091908463615773,46.22093891286716
MUS,ssp126,18955.582058797896,19023.526034793176,-0.3571576366600688
MUS,ssp585,18883.438333877697,19023.526034793176,-0.7363918795036477
MWI,ssp126,679.0813602926706,637.2318313614599,6.567394607673371
MWI,ssp585,680.521709404916,637.2318313614599,6.793426805275307
MYS,ssp126,144161.2605790392,147791.18321344367,-2.456115821985165
MYS,ssp585,145231.26086565285,147791.18321344367,-1.7321211537319656
NAM,ssp126,9188.155437640267,9666.848556440289,-4.95190460474427
NAM,ssp585,8783.022423408836,9666.848556440289,-9.142856928720851
NEI,ssp126,31518.393475165707,32332.659712924175,-2.518401656369101
NEI,ssp585,31647.416518865906,32332.659712924175,-2.1193530013998796
NER,ssp126,2968.976714297506,3094.3917654960824,-4.0529790893646
NER,ssp585,2843.9665200739955,3094.3917654960824,-8.092874606714172
NGA,ssp126,401520.66106980405,421957.59704848245,-4.84336248988787
NGA,ssp585,405131.21746747376,421957.59704848245,-3.9876944268111747
NIC,ssp126,1197.141981640725,1166.6549226187053,2.6132027929550508
NIC,ssp585,1183.0002345287494,1166.6549226187053,1.4010408384816089
NLD,ssp126,116639.72108430472,103859.52360634219,12.305272577990245
NLD,ssp585,122553.1123107486,103859.52360634219,17.998916281631093
NOR,ssp126,9525.588114946346,8369.400000755933,13.814468350012953
NOR,ssp585,9698.712121479082,8369.400000755933,15.883003806761344
NPL,ssp126,130.78856243965333,123.8428092157969,5.608523633982985
NPL,ssp585,130.21106757353724,123.8428092157969,5.1422108381307785
NRU,ssp126,202.46812903214962,173.3195699989968,16.81781176431579
NRU,ssp585,210.78754999763854,173.3195699989968,21.61785884817197
